PostalCode,Neighbourhood,Latitude,Longitude
69001,LYON 01,45.7699284397,4.82922464978
69002,LYON 02,45.7492560394,4.82617032549
69003,LYON 03,45.7533552486,4.86918522013
69004,LYON 04,45.7786867581,4.82396112689
69005,LYON 05,45.7558317849,4.8022536949
69006,LYON 06,45.7728507239,4.85207911437
69007,LYON 07,45.7334098415,4.83758495703
69008,LYON 08,45.7342034691,4.86935722305
69009,LYON 09,45.7817805887,4.80818327822
69100,VILLEURBANNE,45.7707704179,4.88845817426
69110,STE FOY LES LYON,45.7359781395,4.79343173908
69120,VAULX EN VELIN,45.7858821061,4.92637767698
69130,ECULLY,45.7821499466,4.7721681177
69150,DECINES CHARPIEU,45.7717277447,4.96142704635
69160,TASSIN LA DEMI LUNE,45.7628681769,4.75540595543
69190,ST FONS,45.7011050588,4.85046367008
69200,VENISSIEUX,45.7037728826,4.88137668221
69300,CALUIRE ET CUIRE,45.7974053648,4.85124857101
69310,PIERRE BENITE,45.702202274,4.82705049921
69320,FEYZIN,45.6730630785,4.85725794932
69330,MEYZIEU,45.7770899686,5.00632679347
69370,ST DIDIER AU MONT D OR,45.8147288136,4.79844330211
AFGHANISTAN,KABUL,34.516666666666666,69.183333
ALAND ISLANDS,MARIEHAMN,60.116667,19.900000
ALBANIA,TIRANA,41.31666666666667,19.816667
ALGERIA,ALGIERS,36.75,3.050000
AMERICAN SAMOA,PAGO PAGO,-14.266666666666667,-170.700000
ANDORRA,ANDORRA LA VELLA,42.5,1.516667
ANGOLA,LUANDA,-8.833333333333334,13.216667
ANGUILLA,THE VALLEY,18.216666666666665,-63.050000
ANTARCTICA,ANTARCTICA,-62.17388669,-58.86386407
ANTIGUA AND BARBUDA,SAINT JOHN'S,17.116666666666667,-61.850000
ARGENTINA,BUENOS AIRES,-34.583333333333336,-58.666667
ARMENIA,YEREVAN,40.166666666666664,44.500000
ARUBA,ORANJESTAD,12.516666666666667,-70.033333
AUSTRALIA,CANBERRA,-35.266666666666666,149.133333
